Datetime,Ticker,Quote,Base,Type,Market Side,Price,Amount,Cost,Currency,Rateo,Exchange,Sector,Subsector
09.10.24,EURUSD.FOREX,EUR,USD,Deposit,,, ,156988.29,,,Banca Stato,,
09.10.24,SPY5.XETRA,SPY5,EUR,Spot,Buy,522.8,18.0000,-9410.4,,,Banca Stato,ETF,US Equity
09.10.24,RS2K.XETRA,RS2K,EUR,Spot,Buy,295.25,32.0000,-9448,,,Banca Stato,ETF,US Small Cap
09.10.24,LYMS.XETRA,UST,EUR,Spot,Buy,73.82,130.0000,-9596.6,,,Banca Stato,ETF,Nasdaq
10.10.24,USDEUR.FOREX,USD,EUR,Spot,Sell,1.089999209,5237.2500,-4804.82,,,Banca Stato,,
10.10.24,KO.US,KO,USD,Spot,Buy,69.83,75.0000,-5237.25,EUR,1.089999209,,Consumer Staples,Beverages
10.10.24,BTCE.XETRA,BTCE,EUR,Spot,Buy,51.35,90.0000,-4621.5,,,Banca Stato,Crypto,Bitcoin ETP
10.10.24,XEON.XETRA,EXVM,EUR,Spot,Buy,143.8,245.0000,-35231,,,Banca Stato,Cash,Equiv
10.10.24,EL4W.XETRA,DEKA,EUR,Spot,Buy,69.82,505.0000,-35259.1,,,Banca Stato,Cash,Equiv
14.10.24,USDEUR.FOREX,USD,EUR,Spot,Sell,1.089999209,3856.0030,-3537.62,,,Banca Stato,,
14.10.24,COIN.US,COIN,USD,Spot,Buy,192.8,20.0000,-3856.003,EUR,1.089999209,,Finance,Crypto Exchange
17.10.24,USDEUR.FOREX,USD,EUR,Spot,Sell,1.083,3862.8000,-3566.759003,,,Banca Stato,,
17.10.24,CDNA.US,CDNA,USD,Spot,Buy,26.1,148.0000,-3862.8,EUR,1.083,,Healthcare,Biotech
29.10.24,ASOL.PA,ASOL,EUR,Spot,Buy,107.54,26.0000,-2796.04,,,Banca Stato,Technology,Solar
29.10.24,SPY5.XETRA,SPY5,EUR,Spot,Sell,538.48,-18.0000,9692.64,,,Banca Stato,ETF,US Equity
29.10.24,KO.US,KO,USD,Spot,Sell,66.3,-75.0000,4972.5,EUR,1.089999209,,Consumer Staples,Beverages
06.11.24,RS2K.XETRA,RS2K,EUR,Spot,Sell,328.16,-32.0000,10501.12,,,Banca Stato,ETF,US Small Cap
08.11.24,COIN.US,COIN,USD,Spot,Sell,272.91,-20.0000,5458.204247,EUR,1.07,,Finance,Crypto Exchange
11.11.24,BTCE.XETRA,BTCE,EUR,Spot,Sell,72.21,-90.0000,6498.9,,,Banca Stato,Crypto,Bitcoin ETP
18.11.24,RS2K.XETRA,RS2K,EUR,Spot,Buy,324,22.0000,-7128,,,Banca Stato,ETF,US Small Cap
18.11.24,USDEUR.FOREX,USD,EUR,Spot,Sell,1.06,3148.2500,-2970.04717,,,Banca Stato,,
18.11.24,RIOT.US,RIOT,USD,Spot,Buy,12.25,257.0000,-3148.25,EUR,1.07,,Finance,Crypto Mining
18.11.24,USDEUR.FOREX,USD,EUR,Spot,Sell,1.06,2970.0000,-2801.886792,,,Banca Stato,,
18.11.24,MARA.US,MARA,USD,Spot,Buy,19.8,150.0000,-2970,EUR,1.07,,Finance,Crypto Mining
13.12.24,LYMS.XETRA,UST,EUR,Spot,Sell,83.72,-130,10883.6,,,Banca Stato,ETF,Nasdaq
16.12.24,3DES.XETRA,3DES,EUR,Spot,Buy,0.34,7350,-2499,,,Banca Stato,ETF,Short Index
